Type,Plot Summary,Genre,Released,Status,Other name
 TV Series," Toeru takes a test so she can enter the same high school as Run, the girl she likes. She passes, but when she goes   to tell Run, she finds her hugging a girl she’s never seen before."," Comedy, School, Seinen, Slice of Life", 2011, Completed, A-Channel
 TV Series," Toeru takes a test so she can enter the same high school as Run, the girl she likes. She passes, but when she goes   to tell Run, she finds her hugging a girl she’s never seen before."," Comedy, School, Seinen, Slice of Life", 2012, Completed," A-Channel+smile, Aチャンネル+smile（プラス スマイル）"
 TV Series," Toeru takes a test so she can enter the same high school as Run, the girl she likes. She passes, but when she goes   to tell Run, she finds her hugging a girl she’s never seen before."," Comedy, School, Seinen, Slice of Life", 2011, Completed, A-Channel
 ONA," A Day Before Us is an animated Korean drama of a special and sweet love story of the following four main characters; Yeo Reum, Ha Eun, Kim Wook, and Yeon Woo.", Romance, 2018, Completed, A Day Before Us (Season Zero)
 ONA," ""Ken always disguised herself as a man. She was totally confused about why she got entangled with that man. Prince Milton"," Comedy, Drama, Fantasy, Gender Bender, Historical, Shoujo", 2021, Completed,
 ONA,, Romance, 2019, Completed,
 ONA," After being cheated on by her boyfriend, Estrella, as a rookie, joined a video game club and accidentally ran into five wealthy young players and a video game teacher. Will they spoil or tease this lovely assistant?"," Adventure, Comedy, Romance", 2021, Completed,
 Movie," Momo is a young girl who grew up in a big city. However, following the premature loss of her father, she has to move with her mother to the old family house on a remote island. Here, time seems to have stopped", Drama, 2011, Completed," Momo e no Tegami, ももへの手紙"
 TV Series," Sugar, an apprentice Snow Fairy and her friend Salt and Pepper want to become official Season Fairies who have ability to make wind blow, snow fall, sun shine and something related with weather, they use their special instruments to create and control weather....Sugar, an apprentice Snow Fairy and her friend Salt and Pepper want to become official Season Fairies who have ability to make wind blow, snow fall, sun shine and something related with weather, they use their special instruments to create and control weather. And just have only one way to become Season Fairies this is to find out the “Twinkles” which will make the magical flowers bloom. But none of them don’t know what a Twinkles is. Having a human girl name is Saga who can see Season Fairy. Saga help Sugar and her friend search for mysterious Twinkles and while trying to perfect their magic."," Comedy, Fantasy", 2001, Completed," Chicchana Yukitsukai Sugar, Tiny Snow Fairy Sugar, Chiccha na Yukitsukai Sugar, ちっちゃな雪使いシュガー"
 TV Series," Season Fairies create and control the weather using special musical instruments. They make the wind blow, the snow fall, the sun shine; if it's something weather related, they are the ones who make it happen. Sugar, an apprentice Snow Fairy, and her friends Salt and Pepper, all want to become full-fledged Season Fairies, and the only way to achieve this is to search for and find the ""Twinkles"" that will make their magical flowers bloom. The only problem is that none of them have any idea what a Twinkle is. They enlist the somewhat unwilling help of Saga, a human girl who can see Season Fairies. Much to her annoyance, Saga's perfectly planned and ordered life has just become a little too lively for her taste. Together, they search for the mysterious Twinkles while trying to perfect their magic."," Comedy, Fantasy, Music, Shoujo", 2001, Completed," Chicchana Yukitsukai Sugar, Tiny Snow Fairy Sugar, Chiccha na Yukitsukai Sugar, ちっちゃな雪使いシュガー"
